COURSE,DESTINATION,DWT,ELAPSED,FLAG,GT_SHIPTYPE,HEADING,LAT,LENGTH,LON,L_FORE,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,SPEED,STATUS_NAME,TYPE_IMG,TYPE_NAME,WIDTH,W_LEFT
270,AE DAS,159152,1213,IN,17,,22.120708,274,68.538284,230,,CENTURY,8,715903,93,,,,48,21
302,,,935,,,,22.313114,,67.68187,,,[SAT-AIS],8,TXpJMk5EY3hNekkyTkRjeE16STJOQT09LXFQQll0L2lhdUdTREttRnVYUjM3VWc9PQ==,118,Underway using Engine,8,Tanker,,
256,BH SIT,158710,29,IN,17,,26.185633,274,50.667648,229,,DESH ABHIMAAN,8,213380,0,,,,48,18
279,FUJAIRAH,158030,31,IN,17,,21.402834,273,66.934364,230,,DESH SHANTI,8,656135,78,,,,48,18
307,FUJAIRAH FOR ORDERS,157620,34,MH,17,,21.30044,276,62.38343,240,,FREUD,8,5012514,146,,,,48,26
105,EGSUZ,157391,29,MT,71,104,27.089384,276,52.050308,225,0,ANTIGUA I,8,4385468,110,,,,48,42
139,AERUW>NLRTM,156712,93,GR,17,148,23.051498,270,60.221413,235,3,DR IRENE TSAKOS,8,9553040,113,,,,46,15
276,EG SUZ,156559,85,PA,17,,22.894428,277,61.33007,229,,SEA ICON,8,5219928,123,,,,48,18
354,FOR ORDERS,156493,130,BS,17,,24.200407,274,61.345707,228,,BEIJING SPIRIT,8,858242,86,,,,48,13
129,FOR ORDERS,156480,31,BS,17,129,24.639946,274,57.975132,238,1,MOSCOW SPIRIT,8,713276,123,,,,48,34
140,RAS LAFFAN PIER 1,154940,28,MH,18,139,26.229498,345,51.723526,282,1,AL GHUWAIRIYA,8,712592,156,,,,55,40
10,IRUQR,154792,32,PA,11,305,29.285,365,48.99168,146,0,MSC LAUREN,7,412273,0,,,,48,32
151,FUJAIRAH,149999,218,LR,17,151,27.260944,274,50.89917,232,0,GIANNIS,8,754788,118,,,,50,34
273,FUJAIRAH,149999,53,LR,17,290,24.319242,274,59.219032,235,0,AMAZON,8,754790,130,,,,50,32
292,FUJAIRAH,149998,525,LR,17,288,22.469534,276,63.597466,232,0,PISSIOTIS,8,754587,118,,,,50,34
288,,,112,,,,22.971634,,62.158081,,,[SAT-AIS],8,TXprMU5UUXhNemsxTlRReE16azFOUT09LVYrYUVhYldqUHNIMDBHd2xFd2Y1dlE9PQ==,118,Underway using Engine,8,Tanker,,
324,IR-BND,148582,491,IR,11,,21.663891,366,67.206154,112,,BARZIN,7,5560436,138,,,,48,14
300,,,76,,,,22.485001,,65.709999,,,[SAT-AIS],7,TXpJeU1EazJNekl5TURrMk16SXlNQT09LVA1QjdEWUozTDJUZ25FUEFwZG5ndnc9PQ==,140,Underway using Engine,7,Cargo Vessel,,
138,FAR EAST,130441,39,MH,18,,20.77486,345,62.54726,290,,AL MAFYAR,8,712650,148,,,,53,35
77,QATAR,130059,33,MH,18,310,25.876278,345,51.792686,325,-3,UMM SLAL,8,712598,3,,,,53,41
317,QA RLF,121639,41,BS,18,316,23.108896,315,59.6217,252,0,DUHAIL,8,370262,177,,,,50,30
254,KWMZR,115928,28,LR,17,256,28.954483,248,49.762508,206,0,SINBAD,8,279928,133,,,,43,17
294,FUJAIRAH,115690,125,LR,17,,22.822159,249,62.458427,208,,OMERA GALAXY,8,214768,123,,,,43,19
163,IN MUN,115525,65,PA,17,,22.203749,249,68.613853,218,,BREEZE III,8,375403,1,,,,43,23
355,JUBAYL SA,115444,28,HK,6,83,27.071995,254,49.672604,228,16,EASTERN RIVER,7,687102,12,,,,43,28
112,HAZIRA,115418,225,GY,17,,21.549477,249,67.506645,211,,INDA,8,753194,43,,,,44,22
300,AEFJR,115414,153,DK,17,,21.856012,250,63.872238,203,,TORM HELENE,8,6784468,96,,,,44,15
352,SAJUB,115322,31,MT,17,25,27.167757,249,49.814224,204,0,LOVELY LADY,8,7834890,10,,,,44,25
265,RUWAIS,115000,29,LR,71,269,24.754341,250,52.79808,206,0,AL BATEEN,8,6160848,143,,,,44,14
73,TURKISH CREW ONBOARD,114880,259,KM,17,,20.850912,250,64.126556,209,,CORTEX,8,754632,118,,,,44,27
181,FUJAIRAH,114790,32,IN,71,,26.051172,249,56.697784,207,,DESH GARIMA,8,656533,113,,,,44,13
339,FOR ORDERS,113959,32,PT,17,,21.007895,250,60.917393,207,,NORDMARLIN,8,5146486,125,,,,44,17
302,AEKLF,112147,34,PA,17,,24.250116,250,58.723301,205,,SEA STAR,8,465303,106,,,,44,18
149,PKKHI,111571,1197,HK,11,,23.892767,336,67.194,258,,XIN BEIJING,7,689330,131,,,,45,31
131,,,933,,,,23.212152,,67.984253,,,[SAT-AIS],7,TkRrMk1USTJORGsyTVRJMk5EazJNUT09LTRYYnpsRHFSS1lVNmRSNmE0NmlSTEE9PQ==,133,Underway using Engine,7,Cargo Vessel,,
,PERSIAN GULF,110673,625,PA,56,,26.725456,246,52.07251,221,,FPSO CYRUS,8,275732,0,,,,42,30
296,AEFJR,109999,1060,SG,17,,22.071934,249,65.76989,208,,PROTEUS PHILIPPA,8,6909493,115,,,,44,15
293,,,706,,,,22.44916,,64.620262,,,[SAT-AIS],8,TVRjeE1ETTRNVGN4TURNNE1UY3hNQT09LUpoQ2VLR0QzT3lSUDA0VG8xMFd4dEE9PQ==,123,Underway using Engine,8,Tanker,,
198,AE FJR,109950,34,GR,17,,21.846519,249,61.096027,203,,SANTHIA,8,9074876,45,,,,44,25
63,AEFJR,109896,170,GR,17,103,23.243151,249,61.593727,205,,MINERVA ZOE,8,5682580,22,,,,44,17
137,IQUQR,109802,28,PT,11,142,30.052999,299,47.935612,226,0,MSC DESIREE,7,4852813,0,,,,48,31
312,KUWAITI VESSEL,109719,140,KW,17,159,28.688217,249,48.556923,204,,AL DASMA,8,676011,0,,,,42,23
246,EG SUZ,109647,715,MW,71,,21.89892,244,67.339577,218,,NIGHT GLORY,8,730528,91,,,,42,10
152,KE MBA,108926,28,LR,17,152,28.152693,245,50.428116,202,0,BLUE INTEGRITY,8,726165,121,,,,42,18
271,,,189,,,,23.142466,,65.120293,,,[SAT-AIS],8,TXpjMU5ETXlNemMxTkRNeU16YzFOQT09LXlidWJlcG9xaWpWSFBaQVp3UnlsR0E9PQ==,118,At Anchor,8,Tanker,,
279,AEFJR,107593,85,GR,17,278,23.52087,243,64.26487,209,-20,ANAFI WARRIOR,8,459604,116,,,,42,26
290,QA RLF,107153,80,MH,18,,24.163902,315,60.386269,250,,AL KHARAITIYAT,8,3967859,158,,,,50,35
219,RASTANURA'KSA,107123,31,PK,17,,24.81259,246,66.974411,209,,SARGODHA,8,731057,0,,,,42,22
93,TIANJIN,107000,28,MH,18,94,26.213535,315,54.185188,262,0,AL GHARRAFA,8,712282,141,,,,50,15
303,ALRAYYAN,106003,144,QA,17,358,26.6975,243,51.638317,204,0,KHAWR ALADID,8,679079,0,,,,42,25
108,IN NML,105746,118,MT,17,116,23.463104,244,60.368965,204,0,MERBABU,8,656400,120,,,,42,25
234,IQ KAZ,105636,30,VN,17,307,29.682783,248,48.675034,208,0,VAN PHONG 1,8,737125,0,,,,43,22
254,RAS TANURA,105304,28,LR,17,254,26.575827,229,56.283108,208,0,UNITED VENTURE,8,754702,111,,,,42,32
137,AE RUW,104862,30,IN,71,305,24.160788,244,52.729336,202,0,SWARNA KAMAL,8,656479,105,,,,42,26
84,QA RLF>BD CGP,104561,28,MH,18,84,26.258671,315,53.227486,265,1,AL UTOURIYA,8,712370,167,,,,50,12
332,MUSAFFAH S1 ANCH,101648,31,AE,6,304,24.733641,253,54.153873,213,0,HAFEET,7,755194,0,,,,40,7
,BAHRAIN,95289,30,BH,18,169,26.233192,294,50.748871,243,0,SEAPEAK BAHRAIN,8,5593665,0,,,,46,9
77,AE KHL,93282,29,CY,6,231,24.818464,229,54.677368,196,0,THALIA,7,5361330,0,,,,38,25
159,GAWADER,93236,430,MT,6,159,25.126551,229,62.454346,195,4,RIVER KING MASTER,7,714289,0,,,,38,16
336,IR BKM,93183,516,PA,6,336,30.06941,229,49.004326,210,0,ROSALINA,7,758504,83,,,,38,19
331,BKM IR,93079,28,HK,6,289,29.693707,229,49.570068,201,0,NEW LEGEND,7,689476,0,,,,38,24
129,QA RLF>SG SIN,93000,274,LR,18,,21.019688,295,64.31424,237,,LIMAIL,8,9034461,156,,,,47,23
193,FOR ORDERS,92713,457,GR,18,300,22.665098,290,59.413235,226,0,MARAN GAS ACHILLES,8,3861068,217,,,,46,24
199,FOR ORDERS,91387,33,LR,18,,22.342257,295,60.504108,235,,LAN,8,6610246,143,,,,45,27
346,PK BQM,90617,341,BS,18,,24.77404,288,67.287155,224,,AL DAAYEN,8,374277,0,,,,43,19
